,gb_smid,stationname,brandname,stationalias,address,cross2,cityshort,dma,state,postalcode,lat,long,has_fuel,has_power,has_diesel,has_fuel_update_date,has_power_update_date,has_diesel_update_date,avgprice,price_groups,avg_wait_time,avg_wait_time_grp,wait_observed_time,observed_date
2106,92710,Exxon,Exxon,Brother's,3528 S I-10 Service Rd W,N Arnoult Rd,Metairie,New Orleans,LA,70001,29.997344,-90.161204,N,N,Y,2021-09-09 22:54:10.161,2021-09-09 22:54:10.676,,,0.0,1.12,1,2021-09-09 20:00:00.000,2021-09-10 19:23:01.000
2107,94075,Discount Zone,,,4457 W Metairie Ave,Clearview Parkway,Metairie,New Orleans,LA,70001,29.982991091101,-90.179789811373,Y,Y,Y,2021-09-06 19:58:50.545,2021-09-06 19:58:51.525,,2.91,4.0,2.38,1,2021-09-09 23:00:00.000,2021-09-10 19:23:01.000
2108,154907,Valero,Valero,Birdies,1919 Airline Dr,N Labarre Rd,Metairie,New Orleans,LA,70001,29.97426144873,-90.147510766983,Y,Y,Y,2021-08-30 23:47:17.515,2021-08-30 23:47:17.515,2018-09-15 17:55:00.767,,0.0,1.45,1,2021-09-09 23:00:00.000,2021-09-10 19:23:01.000
2109,56152,Shell,Shell,,3200 Veterans Blvd,Causeway Blvd,Metairie,New Orleans,LA,70002,30.002721344956,-90.15563249588,Y,Y,Y,2021-09-09 00:04:42.728,2021-09-09 00:04:42.728,2021-09-09 00:04:42.728,,0.0,1.42,1,2021-09-09 23:00:00.000,2021-09-10 19:23:01.000
2110,134792,Espanade Discount One,,,3652 W Esplanade Ave,Division St,Metairie,New Orleans,LA,70002,30.0146065,-90.1639446,Y,Y,Y,2021-09-08 13:28:58.360,2021-09-08 13:28:58.360,,,0.0,1.0,1,2021-09-09 21:00:00.000,2021-09-10 19:23:01.000
2134,85944,Airline Discount,,,3451 Airline Dr,Severn Ave,Metairie,New Orleans,LA,70001,29.975142,-90.16097,N,N,Y,2021-08-31 17:30:36.394,2021-08-31 17:30:36.751,,,0.0,0.78,1,2021-09-09 23:00:00.000,2021-09-10 19:23:01.000
2135,56153,Shell,Shell,,900 Clearview Pkwy,W Metairie Ave,Metairie,New Orleans,LA,70001,29.983009677208,-90.180496573448,N,Y,Y,2021-09-01 13:53:47.980,2021-09-04 23:36:10.578,,,0.0,1.68,1,2021-09-09 23:00:00.000,2021-09-10 19:23:01.000
2136,91390,Exxon,Exxon,,3140 Veterans Memorial Blvd,N Causeway Blvd,Metairie,New Orleans,LA,70002,30.002591268214,-90.154709815979,N,N,N,2021-09-02 18:21:19.567,2021-09-02 18:21:19.567,2021-09-02 18:21:19.567,,0.0,1.44,1,2021-09-09 23:00:00.000,2021-09-10 19:23:01.000
2137,56144,Discount Zone,,,8000 W Metairie Ave,N Howard Ave,Metairie,New Orleans,LA,70003,29.98550327689,-90.2197265625,Y,Y,Y,2021-09-07 19:07:38.716,2021-09-07 19:07:39.898,2021-09-07 19:07:39.663,,0.0,5.01,2,2021-09-09 23:00:00.000,2021-09-10 19:23:01.000
2138,134911,Rouses Express,,,3711 Power Blvd,Riverside dr,Metairie,New Orleans,LA,70003,30.0110532,-90.221899,Y,Y,Y,,,,,0.0,1.41,1,2021-09-09 23:00:00.000,2021-09-10 19:23:01.000
