,gb_smid,stationname,brandname,stationalias,address,cross2,cityshort,dma,state,postalcode,lat,long,has_fuel,has_power,has_diesel,has_fuel_update_date,has_power_update_date,has_diesel_update_date,avgprice,price_groups,avg_wait_time,avg_wait_time_grp,wait_observed_time,observed_date
0,159670,Abbeville Market,Dees Oil,Quick Stop,1042 MS-7,E Long St,Abbeville,Memphis,MS,38601,34.501248774033,-89.513077139854,Y,Y,Y,,,,,0.0,7.83,2,2021-09-09 14:00:00.000,2021-09-10 19:23:01.000
1,104047,CITGO,CITGO,Billbo's,10136 MS-6 W,Dummy Line Rd,Batesville,Memphis,MS,38606,34.295462507135,-90.04424571991,Y,Y,Y,2020-10-10 22:29:07.951,2020-10-10 22:29:07.951,,,0.0,21.1,2,2021-09-09 22:00:00.000,2021-09-10 19:23:01.000
2,103218,Exxon,Exxon,Bob's Express,1230 DeSoto Ave,Sasse St,Clarksdale,Memphis,MS,38614-6937,34.187330829031,-90.559614747762,Y,Y,Y,2020-10-29 04:11:41.154,2020-10-29 04:11:42.322,2020-10-29 04:11:41.689,,0.0,1.01,1,2021-09-08 23:00:00.000,2021-09-10 19:23:01.000
3,141474,Panthers Den,Dees Oil,Panthers Den,2981 CR-600,MS-370,Dumas,Memphis,MS,38625,34.640124175054,-88.842101097107,Y,Y,Y,,,,,0.0,1.0,1,2021-09-01 19:00:00.000,2021-09-10 19:23:01.000
4,107735,Marathon,Marathon,Magnolia Quick Stop,3001 US-51 S,Star Landing Rd,Hernando,Memphis,MS,38632,34.905114,-89.998112,Y,Y,Y,2020-10-20 15:40:51.323,2020-10-20 15:40:51.323,2020-10-20 15:40:51.323,,0.0,2.48,1,2021-09-09 23:00:00.000,2021-09-10 19:23:01.000
5,152702,CITGO,CITGO,,227 Martin Luther King Jr Dr,W Woodward Ave,Holly Springs,Memphis,MS,38635,34.780186,-89.451203,Y,Y,Y,2020-10-10 18:09:17.522,2020-10-10 18:09:17.522,,,0.0,11.34,2,2021-09-09 00:00:00.000,2021-09-10 19:23:01.000
6,103591,Marathon,Marathon,,165 E Van Dorn Ave,Spring St,Holly Springs,Memphis,MS,38635,34.767285721071,-89.446134567261,Y,Y,Y,2020-10-10 17:53:03.538,2020-10-10 17:53:03.538,,,0.0,1.03,1,2021-09-09 17:00:00.000,2021-09-10 19:23:01.000
7,164757,Shell,Shell,,MS-7,Mt Pleasant Rd,Holly Springs,Memphis,MS,38635,34.796969,-89.447004,Y,Y,Y,2020-10-10 17:51:12.915,2020-10-10 17:51:12.915,2020-10-10 17:51:12.915,,0.0,8.52,2,2021-09-09 16:00:00.000,2021-09-10 19:23:01.000
8,160160,BP,BP,,7074 MS-301,W Goodman Rd,Horn Lake,Memphis,MS,38637,34.963647,-90.095857,Y,Y,Y,2020-10-15 22:13:19.353,2020-10-15 22:13:20.067,,,0.0,4.54,1,2021-09-09 23:00:00.000,2021-09-10 19:23:01.000
9,101890,Murphy USA,Murphy USA,,2411 Goodman Rd W,Hurt Rd,Horn Lake,Memphis,MS,38637,34.962329,-90.032673,Y,Y,Y,2020-11-16 23:10:54.597,2020-11-16 23:10:56.392,2020-11-16 23:10:55.460,2.59,1.0,2.04,1,2021-09-09 22:00:00.000,2021-09-10 19:23:01.000
10,176703,Bucksnorts Country Store,,,5728–5730 Highway 305,Highway 305,Independence,Memphis,MS,38638,34.700991,-89.810818,Y,Y,Y,2021-05-12 20:15:18.895,,,,0.0,1.0,1,2021-09-05 23:00:00.000,2021-09-10 19:23:01.000
11,201745,Home Oil Company,,,227 Armistead St,2nd St,Lula,Memphis,MS,38644,34.454258,-90.47994,Y,Y,Y,,,,,0.0,1.74,1,2021-09-03 16:00:00.000,2021-09-10 19:23:01.000
12,97969,Dees Oil,,Central Station,806 S Central Ave,Buncomb St,New Albany,Columbus-Tupelo-West Point-Houston,MS,38652,34.482412176501,-89.014953374863,Y,Y,Y,,,,,0.0,1.0,1,2021-09-09 20:00:00.000,2021-09-10 19:23:01.000
13,25628,Flying J,Flying J,Conoco,4740 Bethel Rd,Business Center Dr,Olive Branch,Memphis,MS,38654,34.928929105248,-89.793762266636,Y,Y,Y,2020-11-13 02:23:51.872,2020-11-13 02:23:51.873,2020-11-13 02:23:51.865,2.62,1.0,1.02,1,2021-09-09 23:00:00.000,2021-09-10 19:23:01.000
14,103932,Chevron,Chevron,,502 S Lamar Blvd,University Ave,Oxford,Memphis,MS,38655,34.363955128578,-89.519530534744,Y,Y,Y,2020-11-16 16:28:14.344,2020-11-16 16:28:15.242,2020-11-16 16:28:14.792,,0.0,1.09,1,2021-09-09 23:00:00.000,2021-09-10 19:23:01.000
15,103933,Chevron,Chevron,,321 N Lamar Blvd,Jefferson Ave,Oxford,Memphis,MS,38655,34.36854877527,-89.518495202065,Y,Y,Y,2021-05-12 12:33:11.112,2020-10-10 18:19:32.538,,,0.0,1.46,1,2021-09-09 23:00:00.000,2021-09-10 19:23:01.000
16,103924,Super Dees Express,Dees Oil,,2018 University Ave,MS-7,Oxford,Memphis,MS,38655,34.361369043535,-89.502611160278,Y,Y,Y,2020-10-10 18:21:03.159,2020-10-10 18:21:03.159,,,0.0,2.11,1,2021-09-09 19:00:00.000,2021-09-10 19:23:01.000
17,122699,Coleman Brothers,,,720 S Main St,City Ave S,Ripley,Memphis,MS,38663,34.723457927479,-88.948925435543,Y,Y,Y,,,,2.79,3.0,1.81,1,2021-09-09 19:00:00.000,2021-09-10 19:23:01.000
18,192599,Haynes,,,1117 City Ave North,Market Street,Ripley,Memphis,MS,38663,34.74240595396,-88.948804736137,Y,Y,Y,2020-10-10 18:07:06.417,2020-10-10 18:07:06.417,2020-10-10 18:07:06.417,,0.0,0.1,1,2021-09-09 00:00:00.000,2021-09-10 19:23:01.000
19,167929,Tippah Lake Deli,Tippah Lake Deli,,17821 MS-15 N,CR-415,Ripley,Memphis,MS,38663,34.787153,-88.929901,Y,Y,Y,2021-05-11 17:24:35.578,2021-05-11 17:24:35.578,,,0.0,0.7,1,2021-09-06 17:00:00.000,2021-09-10 19:23:01.000
20,104077,Sunoco,Phillips 66,Senatobia Food Mart,434 W Main St,Panola St,Senatobia,Memphis,MS,38668,34.618171103533,-89.968296289444,Y,Y,Y,2020-11-18 19:26:03.647,2020-11-18 19:26:03.647,,,0.0,1.2,1,2021-09-09 21:00:00.000,2021-09-10 19:23:01.000
21,200504,Shell,Shell,Mike’s Food & Gas,3024 US-51 S,Shands Bottom Rd,Senatobia,Memphis,MS,38668,34.597431,-89.968219,Y,Y,Y,2020-11-13 18:39:55.022,2020-11-13 18:39:55.720,2020-11-13 18:39:55.403,2.69,1.0,1.83,1,2021-09-07 20:00:00.000,2021-09-10 19:23:01.000
22,108299,CITGO,CITGO,Bull Market,1325 Church Rd W ,US-51,Southaven,Memphis,MS,38671,34.93301922445,-90.012574195862,Y,Y,Y,2020-10-19 16:03:18.385,2020-10-19 16:03:18.385,2020-10-19 16:03:18.385,2.69,1.0,1.02,1,2021-09-09 19:00:00.000,2021-09-10 19:23:01.000
23,100612,Valero,CITGO,,910 Goodman Rd,Swinnea Rd,Southaven,Memphis,MS,38671,34.962957210414,-89.972459077835,Y,Y,Y,2020-10-10 17:00:16.779,2020-10-10 17:00:16.779,,,0.0,1.5,1,2021-09-09 23:00:00.000,2021-09-10 19:23:01.000
24,171889,Valero,CITGO,,970 Goodman Rd E,Swinnea Rd,Southaven,Memphis,MS,38671,34.962998617337,-89.972486436318,Y,Y,Y,2020-10-10 17:00:04.042,2020-10-10 17:00:04.042,,,0.0,1.5,1,2021-09-09 23:00:00.000,2021-09-10 19:23:01.000
25,116648,Sid's Food Mart,,,7825 US-51 N,Custer Dr,Southaven,Memphis,MS,38671,34.97467382377,-90.016401708126,Y,Y,Y,2020-10-10 21:55:29.069,2020-10-10 21:55:29.068,,,0.0,1.02,1,2021-09-09 14:00:00.000,2021-09-10 19:23:01.000
26,116644,Valero,Valero,Valero,781 Stateline Rd E ,Greenbrook Pkwy,Southaven,Memphis,MS,38671,34.991573509918,-89.97582256794,Y,Y,Y,2020-10-31 20:43:50.895,2020-10-20 15:40:29.834,,,0.0,4.02,1,2021-09-09 23:00:00.000,2021-09-10 19:23:01.000
27,201777,Getwell Express,Exxon,Exxon,8985 Getwell Rd,State Line Rd,Southaven,Memphis,MS,38672,34.991227,-89.937183,Y,Y,Y,2020-10-23 12:03:24.844,2020-10-23 12:03:26.691,2020-10-23 12:03:25.910,,0.0,1.73,1,2021-09-09 23:00:00.000,2021-09-10 19:23:01.000
28,53779,BlueSky,,Express Shop,7030 US-72,Main St,Walnut,Memphis,MS,38683,34.951628890268,-88.900801241398,Y,Y,Y,2020-11-05 19:11:05.739,,,,0.0,12.93,2,2021-09-09 17:00:00.000,2021-09-10 19:23:01.000
29,156357,Double Quick,,,229 S Broadway,Main ,Greenville,Greenwood-Greenville,MS,38701,33.408327257716,-91.060373783112,Y,Y,Y,,,,,0.0,0.72,1,2021-09-09 14:00:00.000,2021-09-10 19:23:01.000
30,156038,Scott Petroleum,,,1011 Alexander,Edison,Greenville,Greenwood-Greenville,MS,38701,33.408134701692,-91.05103969574,Y,Y,Y,2020-11-05 18:41:28.818,2020-11-05 18:41:28.821,,,0.0,1.0,1,2021-09-09 16:00:00.000,2021-09-10 19:23:01.000
